V1,instution,city,zip,state_abbr,LOCALE,LATITUDE,LONGITUDE,urban_type,urban_description,vector_name,state_name,state_name_included,city_name_included
1,Alabama A & M University,Normal,35762,AL,12,34.783368,-86.568502,City,Midsize,,Alabama,TRUE,FALSE
2,University of Alabama at Birmingham,Birmingham,35294-0110,AL,12,33.505697,-86.799345,City,Midsize,,Alabama,TRUE,TRUE
3,Amridge University,Montgomery,36117-3553,AL,12,32.362609,-86.17401,City,Midsize,,Alabama,FALSE,FALSE
4,University of Alabama in Huntsville,Huntsville,35899,AL,12,34.724557,-86.640449,City,Midsize,,Alabama,TRUE,TRUE
5,Alabama State University,Montgomery,36104-0271,AL,12,32.364317,-86.295677,City,Midsize,,Alabama,TRUE,FALSE
6,The University of Alabama,Tuscaloosa,35487-0100,AL,12,33.211875,-87.545978,City,Midsize,,Alabama,TRUE,FALSE
7,Central Alabama Community College,Alexander City,35010,AL,32,32.92478,-85.945266,Town,Distant,,Alabama,TRUE,FALSE
8,Athens State University,Athens,35611,AL,31,34.806793,-86.964698,Town,Fringe,,Alabama,FALSE,TRUE
9,Auburn University at Montgomery,Montgomery,36117-3596,AL,12,32.36736,-86.177544,City,Midsize,,Alabama,FALSE,TRUE
10,Auburn University,Auburn,36849,AL,13,32.599378,-85.488258,City,Small,,Alabama,FALSE,TRUE
11,Birmingham-Southern College,Birmingham,35254,AL,12,33.513774,-86.850552,City,Midsize,,Alabama,FALSE,TRUE
12,Chattahoochee Valley Community College,Phenix City,36869,AL,41,32.42391,-85.031485,Rural,Fringe,,Alabama,FALSE,FALSE
13,South University-Montgomery,Montgomery,36116,AL,12,32.342684,-86.216488,City,Midsize,,Alabama,FALSE,TRUE
14,Enterprise State Community College,Enterprise,36330-1300,AL,32,31.297496,-85.836956,Town,Distant,,Alabama,FALSE,TRUE
15,Coastal Alabama Community College,Bay Minette,36507-2698,AL,32,30.851343,-87.778193,Town,Distant,,Alabama,TRUE,FALSE
16,Faulkner University,Montgomery,36109-3390,AL,12,32.384181,-86.21641,City,Midsize,,Alabama,FALSE,FALSE
17,Gadsden State Community College,Gadsden,35903,AL,13,33.994001,-85.991438,City,Small,,Alabama,FALSE,TRUE
18,New Beginning College of Cosmetology,Albertville,35951,AL,32,34.27871,-86.196931,Town,Distant,,Alabama,FALSE,FALSE
19,George C Wallace Community College-Dothan,Dothan,36303-9234,AL,13,31.315274,-85.465836,City,Small,,Alabama,FALSE,TRUE
20,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,AL,32,34.072439,-86.781935,Town,Distant,,Alabama,FALSE,TRUE
21,George C Wallace State Community College-Selma,Selma,36702-2808,AL,32,32.445917,-87.013294,Town,Distant,,Alabama,FALSE,TRUE
22,Herzing University-Birmingham,Birmingham,35209,AL,21,33.468466,-86.832465,Suburb,Large,,Alabama,FALSE,TRUE
23,Huntingdon College,Montgomery,36106-2148,AL,12,32.351034,-86.284366,City,Midsize,,Alabama,FALSE,FALSE
24,Heritage Christian University,Florence,35630-9977,AL,13,34.856153,-87.663051,City,Small,,Alabama,FALSE,FALSE
25,J. F. Drake State Community and Technical College,Huntsville,35811,AL,12,34.771858,-86.572885,City,Midsize,,Alabama,FALSE,FALSE
26,J F Ingram State Technical College,Deatsville,36022,AL,21,32.582312,-86.392369,Suburb,Large,,Alabama,FALSE,FALSE
27,Jacksonville State University,Jacksonville,36265,AL,23,33.822938,-85.765321,Suburb,Small,,Alabama,FALSE,TRUE
28,Jefferson State Community College,Birmingham,35215-3098,AL,12,33.652535,-86.707233,City,Midsize,,Alabama,FALSE,FALSE
29,John C Calhoun State Community College,Tanner,35671,AL,41,34.645844,-86.949674,Rural,Fringe,,Alabama,FALSE,FALSE
30,Lawson State Community College,Birmingham,35221-1717,AL,12,33.450814,-86.888844,City,Midsize,,Alabama,FALSE,FALSE
31,University of West Alabama,Livingston,35470,AL,43,32.588132,-88.186329,Rural,Remote,,Alabama,TRUE,FALSE
32,Lurleen B Wallace Community College,Andalusia,36420-1224,AL,41,31.322947,-86.452262,Rural,Fringe,,Alabama,FALSE,FALSE
33,Marion Military Institute,Marion,36756-3207,AL,43,32.623734,-87.322041,Rural,Remote,,Alabama,FALSE,TRUE
34,Miles College,Fairfield,35064-2621,AL,21,33.482442,-86.908751,Suburb,Large,,Alabama,FALSE,FALSE
35,University of Mobile,Mobile,36613-2842,AL,41,30.793247,-88.128934,Rural,Fringe,,Alabama,FALSE,TRUE
36,University of Montevallo,Montevallo,35115-6000,AL,21,33.10625,-86.865099,Suburb,Large,,Alabama,FALSE,TRUE
37,Northwest-Shoals Community College,Muscle Shoals,35661,AL,13,34.739788,-87.678089,City,Small,,Alabama,FALSE,FALSE
38,University of North Alabama,Florence,35632-0001,AL,13,34.806738,-87.681361,City,Small,,Alabama,TRUE,FALSE
39,Northeast Alabama Community College,Rainsville,35986,AL,42,34.545471,-85.911664,Rural,Distant,,Alabama,TRUE,FALSE
40,Oakwood University,Huntsville,35896,AL,12,34.756344,-86.652705,City,Midsize,,Alabama,FALSE,FALSE
41,Reid State Technical College,Evergreen,36401,AL,41,31.460265,-86.964797,Rural,Fringe,,Alabama,FALSE,FALSE
42,Bishop State Community College,Mobile,36603-5898,AL,12,30.693972,-88.056982,City,Midsize,,Alabama,FALSE,FALSE
43,Samford University,Birmingham,35229-2240,AL,21,33.464128,-86.791799,Suburb,Large,,Alabama,FALSE,FALSE
44,Shelton State Community College,Tuscaloosa,35405-8522,AL,12,33.120531,-87.56148,City,Midsize,,Alabama,FALSE,FALSE
45,Snead State Community College,Boaz,35957-0734,AL,32,34.201495,-86.169897,Town,Distant,,Alabama,FALSE,FALSE
46,University of South Alabama,Mobile,36688-0002,AL,12,30.696033,-88.178711,City,Midsize,,Alabama,TRUE,FALSE
47,Spring Hill College,Mobile,36608-1791,AL,12,30.694751,-88.138199,City,Midsize,,Alabama,FALSE,FALSE
48,Stillman College,Tuscaloosa,35401,AL,12,33.200006,-87.585278,City,Midsize,,Alabama,FALSE,FALSE
49,Talladega College,Talladega,35160,AL,32,33.433472,-86.112704,Town,Distant,,Alabama,FALSE,TRUE
50,H Councill Trenholm State Community College,Montgomery,36108-3199,AL,12,32.350109,-86.343057,City,Midsize,,Alabama,FALSE,FALSE
51,Troy University,Troy,36082-0001,AL,33,31.800672,-85.957094,Town,Remote,,Alabama,FALSE,TRUE
52,Tuskegee University,Tuskegee,36088-1920,AL,32,32.4309,-85.708492,Town,Distant,,Alabama,FALSE,TRUE
53,United States Sports Academy,Daphne,36526-7055,AL,13,30.639329,-87.91163,City,Small,,Alabama,FALSE,FALSE
54,Bevill State Community College,Jasper,35501,AL,32,33.836929,-87.266406,Town,Distant,,Alabama,FALSE,FALSE
55,University of Alaska Anchorage,Anchorage,99508,AK,11,61.190163,-149.82619,City,Large,,Alaska,TRUE,TRUE
56,Alaska Bible College,Palmer,99645,AK,32,61.598553,-149.111972,Town,Distant,,Alaska,TRUE,FALSE
57,University of Alaska Fairbanks,Fairbanks,99775,AK,23,64.85756,-147.823146,Suburb,Small,,Alaska,TRUE,TRUE
58,University of Alaska Southeast,Juneau,99801-8697,AK,33,58.384846,-134.638255,Town,Remote,,Alaska,TRUE,FALSE
59,Alaska Pacific University,Anchorage,99508,AK,11,61.190968,-149.804168,City,Large,,Alaska,TRUE,FALSE
60,Alaska Vocational Technical Center,Seward,99664-0889,AK,43,60.110626,-149.444487,Rural,Remote,,Alaska,TRUE,FALSE
61,Charter College,Vancouver,98683-7575,WA,12,45.617798,-122.494766,City,Midsize,,Washington,FALSE,FALSE
62,Alaska Career College,Anchorage,99507-1033,AK,11,61.181443,-149.856954,City,Large,,Alaska,TRUE,FALSE
63,Empire Beauty School-Tucson,Tucson,85716,AZ,11,32.235657,-110.927187,City,Large,,Arizona,FALSE,TRUE
64,Carrington College-Phoenix North,Phoenix,85051-4063,AZ,11,33.565758,-112.104601,City,Large,,Arizona,FALSE,TRUE
65,Carrington College-Mesa,Mesa,85210-5005,AZ,11,33.39248,-111.853218,City,Large,,Arizona,FALSE,TRUE
66,Carrington College-Tucson,Tucson,85745-2974,AZ,11,32.224391,-110.983056,City,Large,,Arizona,FALSE,TRUE
67,Arizona Academy of Beauty,Tucson,85712,AZ,11,32.237253,-110.872305,City,Large,,Arizona,TRUE,FALSE
68,Miller-Motte College-Arizona Automotive Institute,Glendale,85301-3579,AZ,21,33.537249,-112.157344,Suburb,Large,,Arizona,TRUE,FALSE
69,Brookline College-Phoenix,Phoenix,85021,AZ,11,33.566102,-112.112473,City,Large,,Arizona,FALSE,TRUE
70,Arizona State University Campus Immersion,Tempe,85287,AZ,12,33.417721,-111.934383,City,Midsize,,Arizona,TRUE,FALSE
71,Arizona Western College,Yuma,85365-8834,AZ,13,32.689306,-114.495968,City,Small,,Arizona,TRUE,FALSE
72,University of Arizona,Tucson,85721-0066,AZ,11,32.232672,-110.950815,City,Large,,Arizona,TRUE,FALSE
73,Central Arizona College,Coolidge,85128-9030,AZ,41,32.957092,-111.652501,Rural,Fringe,,Arizona,TRUE,FALSE
74,Charles of Italy Beauty College,Lake Havasu City,86403,AZ,13,34.477485,-114.332686,City,Small,,Arizona,FALSE,FALSE
