"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"21","George C Wallace State Community College-Selma","Selma","AL","36702-2808",0,1,5,"32",NA,"32.445917","-87.013294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1912",NA,NA,NA,"4560","8250","0.497"
"22","Herzing University-Birmingham","Birmingham","AL","35209",0,1,5,"21",NA,"33.468466","-86.832465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14200","14200","0.6748"
"23","Huntingdon College","Montgomery","AL","36106-2148",0,1,5,"12",NA,"32.351034","-86.284366","71","510","560","470","510",NA,NA,"535","490",NA,"19","25","20","25","17","24",NA,NA,"22","23","21",NA,"1111","1111",NA,"24617",NA,NA,"27900","27900","0.3946"
"24","Heritage Christian University","Florence","AL","35630-9977",0,1,5,"13",NA,"34.856153","-87.663051","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11632","11632","0.5143"
"25","J. F. Drake State Community and Technical College","Huntsville","AL","35811",0,1,5,"12",NA,"34.771858","-86.572885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5609",NA,NA,NA,"4830","8520","0.4521"
"26","J F Ingram State Technical College","Deatsville","AL","36022",0,1,5,"21",NA,"32.582312","-86.392369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4430",NA,NA,NA,"5472","5472","0.1805"
"27","Jacksonville State University","Jacksonville","AL","36265",0,1,5,"23",NA,"33.822938","-85.765321",NA,"490","580","520","660",NA,NA,"535","590",NA,"16","23","15","23","15","21",NA,NA,"20","19","18",NA,"1030","1030","18336",NA,NA,NA,"11120","20840","0.4109"
"28","Jefferson State Community College","Birmingham","AL","35215-3098",0,1,5,"12",NA,"33.652535","-86.707233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9406",NA,NA,NA,"4920","8610","0.2826"
"29","John C Calhoun State Community College","Tanner","AL","35671",0,1,5,"41",NA,"34.645844","-86.949674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6604",NA,NA,NA,"4940","8630","0.2705"
"30","Lawson State Community College","Birmingham","AL","35221-1717",0,1,5,"12",NA,"33.450814","-86.888844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5820",NA,NA,NA,"4860","8550","0.6149"
"31","University of West Alabama","Livingston","AL","35470",0,1,5,"43",NA,"32.588132","-88.186329",NA,"430","470","450","510",NA,NA,"450","480",NA,"17","21","16","22","16","19",NA,NA,"19","19","18",NA,"1017","1017","16258",NA,NA,NA,"10990","20090","0.5294"
"32","Lurleen B Wallace Community College","Andalusia","AL","36420-1224",0,1,5,"41",NA,"31.322947","-86.452262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7116",NA,NA,NA,"4620","8310","0.3926"
"33","Marion Military Institute","Marion","AL","36756-3207",0,1,5,"43",NA,"32.623734","-87.322041",NA,"560","650","540","650",NA,NA,"605","595",NA,"18","26","17","26","18","25",NA,NA,"22","22","22",NA,"1146","1146","12029",NA,NA,NA,"9218","15218","0.3566"
"34","Miles College","Fairfield","AL","35064-2621",0,1,5,"21",NA,"33.482442","-86.908751","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19145",NA,NA,"12714","12714","0.7826"
"35","University of Mobile","Mobile","AL","36613-2842",0,1,5,"41",NA,"30.793247","-88.128934","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22464",NA,NA,"24855","24855","0.2869"
"36","University of Montevallo","Montevallo","AL","35115-6000",0,1,5,"21",NA,"33.10625","-86.865099",NA,"500","590","470","610",NA,NA,"545","540",NA,"19","26","19","28","17","24",NA,NA,"23","24","21",NA,"1131","1131","17348",NA,NA,NA,"13710","26730","0.395"
"37","Northwest-Shoals Community College","Muscle Shoals","AL","35661",0,1,5,"13",NA,"34.739788","-87.678089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2595",NA,NA,NA,"4831","8521","0.3699"
"38","University of North Alabama","Florence","AL","35632-0001",0,1,5,"13",NA,"34.806738","-87.681361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12631",NA,NA,NA,"10620","20220","0.3409"
"39","Northeast Alabama Community College","Rainsville","AL","35986",0,1,5,"42",NA,"34.545471","-85.911664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3232",NA,NA,NA,"4860","8850","0.3913"
"40","Oakwood University","Huntsville","AL","35896",0,1,5,"12",NA,"34.756344","-86.652705","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26791",NA,NA,"19990","19990","0.472"
"41","Reid State Technical College","Evergreen","AL","36401",0,1,5,"41",NA,"31.460265","-86.964797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"186",NA,NA,NA,"4890","8580","0.4552"
"42","Bishop State Community College","Mobile","AL","36603-5898",0,1,5,"12",NA,"30.693972","-88.056982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3163",NA,NA,NA,"4860","8550","0.4802"
"43","Samford University","Birmingham","AL","35229-2240",0,1,5,"21",NA,"33.464128","-86.791799","54","570","660","530","630",NA,NA,"615","580",NA,"23","29","23","31","20","27",NA,NA,"26","27","24",NA,"1236","1236",NA,"34207",NA,NA,"35360","35360","0.1149"
"44","Shelton State Community College","Tuscaloosa","AL","35405-8522",0,1,5,"12",NA,"33.120531","-87.56148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8017",NA,NA,NA,"4587","8277","0.381"
"45","Snead State Community College","Boaz","AL","35957-0734",0,1,5,"32",NA,"34.201495","-86.169897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7179",NA,NA,NA,"5344","9280","0.3892"
"46","University of South Alabama","Mobile","AL","36688-0002",0,1,5,"12",NA,"30.696033","-88.178711",NA,"500","610","485","605",NA,NA,"555","545",NA,"19","26","19","27","17","25",NA,NA,"23","23","21",NA,"1132","1132","16223",NA,NA,NA,"8756","17012","0.3672"
"47","Spring Hill College","Mobile","AL","36608-1791",0,1,5,"12",NA,"30.694751","-88.138199","30","490","530","480","530",NA,NA,"510","505",NA,"17","21","15","20","15","19",NA,NA,"19","18","17",NA,"1019","1019",NA,"26939",NA,NA,"21100","21100","0.3648"
"48","Stillman College","Tuscaloosa","AL","35401",0,1,5,"12",NA,"33.200006","-87.585278","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23340",NA,NA,"11392","11392","0.7433"
"49","Talladega College","Talladega","AL","35160",0,1,5,"32",NA,"33.433472","-86.112704","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17433",NA,NA,"13886","13886","0.7167"
"50","H Councill Trenholm State Community College","Montgomery","AL","36108-3199",0,1,5,"12",NA,"32.350109","-86.343057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5324",NA,NA,NA,"4770","8460","0.595"
"51","Troy University","Troy","AL","36082-0001",0,1,5,"33",NA,"31.800672","-85.957094",NA,"485","580","450","570",NA,NA,"533","510",NA,"17","25","17","25","16","23",NA,NA,"21","21","20",NA,"1082","1082","14019",NA,NA,NA,"9312","18624","0.4028"
"52","Tuskegee University","Tuskegee","AL","36088-1920",0,1,5,"32",NA,"32.4309","-85.708492",NA,"470","580","450","550",NA,NA,"525","500",NA,"18","25","17","25","16","23",NA,NA,"22","21","20",NA,"1080","1080",NA,"38809",NA,NA,"22614","22614","0.1318"
"53","United States Sports Academy","Daphne","AL","36526-7055",0,1,5,"13",NA,"30.639329","-87.91163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16418","16418","0.2197"
"54","Bevill State Community College","Jasper","AL","35501",0,1,5,"32",NA,"33.836929","-87.266406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7087",NA,NA,NA,"5214","9150","0.3288"
"55","University of Alaska Anchorage","Anchorage","AK","99508",0,2,8,"11",NA,"61.190163","-149.82619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12531",NA,NA,NA,"8622","25228","0.1999"
"56","Alaska Bible College","Palmer","AK","99645",0,2,8,"32",NA,"61.598553","-149.111972","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10900","10900","0.475"
"57","University of Alaska Fairbanks","Fairbanks","AK","99775",0,2,8,"23",NA,"64.85756","-147.823146",NA,"560","680","550","680",NA,NA,"620","615",NA,"17","27","15","26","16","25",NA,NA,"22","21","21",NA,"1169","1169","9684",NA,NA,NA,"7248","21384","0.2178"
"58","University of Alaska Southeast","Juneau","AK","99801-8697",0,2,8,"33",NA,"58.384846","-134.638255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7368",NA,NA,NA,"6960","21096","0.1634"
"59","Alaska Pacific University","Anchorage","AK","99508",0,2,8,"11",NA,"61.190968","-149.804168","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20760","20760","0.4103"
"60","Alaska Vocational Technical Center","Seward","AK","99664-0889",0,2,8,"43",NA,"60.110626","-149.444487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10337",NA,NA,NA,NA,NA,"0.0487"
"61","Charter College","Vancouver","WA","98683-7575",0,53,8,"12",NA,"45.617798","-122.494766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27408",NA,NA,"17289","17289","0.5448"
"62","Alaska Career College","Anchorage","AK","99507-1033",0,2,8,"11",NA,"61.181443","-149.856954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6401"
"63","Empire Beauty School-Tucson","Tucson","AZ","85716",0,4,6,"11",NA,"32.235657","-110.927187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19722",NA,NA,NA,NA,"0.5962"
"64","Carrington College-Phoenix North","Phoenix","AZ","85051-4063",0,4,6,"11",NA,"33.565758","-112.104601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31592",NA,NA,NA,NA,"0.5513"
"65","Carrington College-Mesa","Mesa","AZ","85210-5005",0,4,6,"11",NA,"33.39248","-111.853218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4731"
"66","Carrington College-Tucson","Tucson","AZ","85745-2974",0,4,6,"11",NA,"32.224391","-110.983056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42772",NA,NA,NA,NA,"0.577"
"67","Arizona Academy of Beauty","Tucson","AZ","85712",0,4,6,"11",NA,"32.237253","-110.872305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6988"
"68","Miller-Motte College-Arizona Automotive Institute","Glendale","AZ","85301-3579",0,4,6,"21",NA,"33.537249","-112.157344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25866",NA,NA,NA,NA,"0.6214"
"69","Brookline College-Phoenix","Phoenix","AZ","85021",0,4,6,"11",NA,"33.566102","-112.112473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.545"
"70","Arizona State University Campus Immersion","Tempe","AZ","85287",0,4,6,"12",NA,"33.417721","-111.934383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12814",NA,NA,NA,"11348","29438","0.3276"
"71","Arizona Western College","Yuma","AZ","85365-8834",0,4,6,"13",NA,"32.689306","-114.495968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10135",NA,NA,NA,"2900","11450","0.4027"
"72","University of Arizona","Tucson","AZ","85721-0066",0,4,6,"11",NA,"32.232672","-110.950815",NA,"560","680","560","690",NA,NA,"620","625",NA,"21","29","20","29","20","28",NA,NA,"25","25","24",NA,"1230","1230","15601",NA,NA,NA,"12736","37258","0.2868"
"73","Central Arizona College","Coolidge","AZ","85128-9030",0,4,6,"41",NA,"32.957092","-111.652501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5491",NA,NA,NA,"2580","5160","0.3356"
"74","Charles of Italy Beauty College","Lake Havasu City","AZ","86403",0,4,6,"13",NA,"34.477485","-114.332686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14582",NA,NA,NA,NA,"0.5402"
"75","Cochise County Community College District","Sierra Vista","AZ","85635-2317",0,4,6,"13",NA,"31.564597","-110.246946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7124",NA,NA,NA,"2184","6240","0.3814"
"76","Empire Beauty School-Chandler","Chandler","AZ","85224",0,4,6,"11",NA,"33.347586","-111.860423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21258",NA,NA,NA,NA,"0.4937"
"77","Avalon Institute-Mesa","Mesa","AZ","85210",0,4,6,"11",NA,"33.376583","-111.858305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5774"
"78","Eastern Arizona College","Thatcher","AZ","85552-0769",0,4,6,"33",NA,"32.843664","-109.76234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9776",NA,NA,NA,"2160","9120","0.2113"
"79","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720",0,4,6,"41",NA,"34.616766","-112.449741",NA,"570","660","570","690",NA,NA,"615","630",NA,"22","29","21","30","23","29",NA,NA,"26","26","26",NA,"1240","1240",NA,"38798",NA,NA,"38966","38966","0.1901"
"80","The School of Architecture","Paradise Valley","AZ","85253",0,4,6,"21",NA,"33.566649","-111.941953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Glendale Community College","Glendale","AZ","85302",0,4,6,"21",NA,"33.570226","-112.190735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9717",NA,NA,NA,"2070","7854","0.2936"
"82","Grand Canyon University","Phoenix","AZ","85017",0,4,6,"11",NA,"33.513231","-112.129929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23460",NA,NA,"17800","17800","0.4311"
"83","GateWay Community College","Phoenix","AZ","85034",0,4,6,"11",NA,"33.449686","-111.997077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10356",NA,NA,NA,"2070","7854","0.2869"
"84","Mesa Community College","Mesa","AZ","85202",0,4,6,"11",NA,"33.390323","-111.871255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10850",NA,NA,NA,"2070","7854","0.2289"
"85","Mohave Community College","Kingman","AZ","86409-1238",0,4,6,"41",NA,"35.270996","-114.029838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6858",NA,NA,NA,"2136","7008","0.3451"
"86","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Avondale","AZ","85323",0,4,6,"11",NA,"33.684428","-112.121336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24478",NA,NA,NA,NA,"0.4315"
"87","Dine College","Tsaile","AZ","86556",0,4,6,"43",NA,"36.293328","-109.21684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10923",NA,NA,NA,"1410","1410","0.4755"
"88","Northern Arizona University","Flagstaff","AZ","86011-4092",0,4,6,"13",NA,"35.188449","-111.653724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14636",NA,NA,NA,"11896","26642","0.3174"
"89","Northland Pioneer College","Holbrook","AZ","86025-0610",0,4,6,"41",NA,"34.93031","-110.142199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6123",NA,NA,NA,"2428","9850","0.153"
"90","Ottawa University-Phoenix","Phoenix","AZ","85021",0,4,6,"11",NA,"33.572173","-112.113001","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"976",NA,NA,NA,NA,NA,NA,"0.4318"
"91","Phoenix College","Phoenix","AZ","85013",0,4,6,"11",NA,"33.481361","-112.088293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10118",NA,NA,NA,"2070","7854","0.3419"
